english,piglatin
the sky is blue i have a cat python is great machine learning nice to meet you,ethay skyay isway ueblay iway avehay away atcay onpythay isway eatgray achinemay earninglay icenay otay eetmay ouyay
how old are you do you like music he is kind thank you i like this,owhay oldway areway ouyay oday ouyay ikelay usicmay ehay isway indkay ankthay ouyay iway ikelay isthay
i am fine thank you python is great we are happy i like this,iway amway inefay ankthay ouyay onpythay isway eatgray eway areway appyhay iway ikelay isthay
my favorite color is blue we are learning i have a cat let's eat this is fun,myay avoritefay olorcay isway ueblay eway areway earninglay iway avehay away atcay et'slay eatway isthay isway unfay
where do you live this is a test machine learning i like this how are you,erewhay oday ouyay ivelay isthay isway away esttay achinemay earninglay iway ikelay isthay owhay areway ouyay
open the door do you like music i am fine my name is john we are learning,openway ethay oorday oday ouyay ikelay usicmay iway amway inefay myay amenay isway ohnjay eway areway earninglay
close the window artificial intelligence it's cold today you are welcome we are happy,oseclay ethay indowway artificialway intelligenceway it'sway oldcay odaytay ouyay areway elcomeway eway areway appyhay
my name is john i am fine can you repeat what do you do close the window,myay amenay isway ohnjay iway amway inefay ancay ouyay epeatray atwhay oday ouyay oday oseclay ethay indowway
i am fine thank you artificial intelligence nice to meet you where do you live,iway amway inefay ankthay ouyay artificialway intelligenceway icenay otay eetmay ouyay erewhay oday ouyay ivelay
i love programming artificial intelligence data science world let's go,iway ovelay ogrammingpray artificialway intelligenceway ataday iencescay orldway et'slay ogay
world hello i am a student they are funny it's very hot,orldway ellohay iway amway away udentstay eythay areway unnyfay it'sway eryvay othay
i like this data science world artificial intelligence we are happy,iway ikelay isthay ataday iencescay orldway artificialway intelligenceway eway areway appyhay
they are funny i work in tech do you speak english we are learning see you later,eythay areway unnyfay iway orkway inway echtay oday ouyay eakspay englishway eway areway earninglay eesay ouyay aterlay
how are you world i want coffee they are funny this is fun,owhay areway ouyay orldway iway antway offeecay eythay areway unnyfay isthay isway unfay
where are you from i am a student the book is interesting the sky is blue what time is it,erewhay areway ouyay omfray iway amway away udentstay ethay ookbay isway interestingway ethay skyay isway ueblay atwhay imetay isway itway
we are happy my favorite color is blue it's cold today i like reading i have a cat,eway areway appyhay myay avoritefay olorcay isway ueblay it'sway oldcay odaytay iway ikelay eadingray iway avehay away atcay
i am a student i don't know i love programming let's eat python is great,iway amway away udentstay iway on'tday owknay iway ovelay ogrammingpray et'slay eatway onpythay isway eatgray
